,Fare_Amt,tripDurationHours,tipPC,depart_income,arriv_income,Trip_Distance,Payment_Type
4052,4.9,0.101111111111,0.214285714286,147.284296274,238.665860215,1.0,CREDIT
4053,6.1,0.137777777778,0.0,94.386319293,115.621026064,1.2,CASH
4054,6.1,0.137777777778,0.0,,115.621026064,1.2,CASH
4055,6.5,0.115833333333,0.0,143.303540904,150.291550604,1.6,CASH
4056,6.6,0.0852777777778,0.0,205.936708269,115.621026064,1.6,Cash
4057,7.3,0.167222222222,0.0,101.184332311,119.356719782,1.5,Cash
4058,5.9,0.0891666666667,0.0,101.184332311,119.356719782,0.7,Cash
4059,7.3,0.167222222222,0.0,205.936708269,170.550403502,1.6,Cash
4060,45.0,0.580833333333,0.163777777778,139.074511059,27.7688679245,18.2,Credit
4061,16.5,0.467222222222,0.0,178.157744482,94.386319293,4.7,Cash
4062,9.0,0.180833333333,0.2,158.973138597,147.284296274,1.9,Credit
4063,7.5,0.119444444444,0.0,147.284296274,94.386319293,1.5,Cash
4064,23.8,0.53,0.15,101.184332311,20.3178816325,7.5,Credit
4065,12.5,0.378888888889,0.0,158.973138597,158.973138597,1.9,Cash
4066,22.6,0.473055555556,0.0,147.284296274,45.8744721551,8.4,Cash
4067,8.9,0.148611111111,0.0,139.074511059,252.197724718,2.9,Cash
4068,6.5,0.152777777778,0.2,120.643519106,252.197724718,1.2,Credit
4069,14.2,0.350833333333,0.105633802817,111.452010793,77.6545853926,3.4,Credit
4070,8.5,0.2,0.0,147.284296274,121.765217175,2.19,CASH
4071,5.7,0.1,0.0,94.386319293,139.074511059,1.32,CASH
4072,5.7,0.0833333333333,0.0,147.284296274,94.386319293,1.47,CASH
4073,4.2,0.0469444444444,0.15,147.284296274,120.643519106,0.4,Credit
4074,9.3,0.169444444444,0.0,158.973138597,136.763860839,2.7,Cash
4075,9.7,0.2,0.20618556701,64.1674781822,147.284296274,2.75,Credit
4076,4.9,0.0833333333333,0.0,147.284296274,252.197724718,0.96,CASH
4077,9.7,0.2,0.0,157.477740509,147.284296274,2.55,CASH
4078,9.7,0.2,0.0,157.477740509,147.284296274,2.55,CASH
4079,9.7,0.2,0.0,157.477740509,,2.55,CASH
4080,9.7,0.2,0.0,157.477740509,,2.55,CASH
4081,18.5,0.333333333333,0.0,252.197724718,,6.76,CASH
4082,7.7,0.166666666667,0.0,147.284296274,158.973138597,1.9,CASH
4083,20.5,0.289722222222,0.243902439024,,115.621026064,8.2,Credit
4084,5.3,0.0833333333333,0.0,115.621026064,120.643519106,0.97,CASH
4085,4.9,0.0666666666667,0.0,119.356719782,101.184332311,0.96,CASH
4086,20.9,0.4,0.0,77.6545853926,147.284296274,7.65,CASH
4087,4.5,0.0833333333333,0.0,205.936708269,205.936708269,0.63,CASH
4088,10.9,0.183333333333,0.0,22.2377302013,13.2992482357,3.94,CASH
4089,7.3,0.2,0.13698630137,119.356719782,101.184332311,0.88,Credit
4090,13.8,0.319444444444,0.0,94.386319293,143.303540904,4.0,Cash
4091,7.3,0.183333333333,0.0,94.386319293,252.197724718,1.55,CASH
4092,6.1,0.15,0.327868852459,139.074511059,101.184332311,0.85,Credit
4093,9.7,0.166666666667,0.0,20.3524325322,49.4984977376,3.04,CASH
4094,8.5,0.2,0.0,158.973138597,170.259992779,2.2,CASH
4095,8.5,0.2,0.0,170.259992779,158.973138597,1.75,CASH
4096,5.3,0.1,0.377358490566,119.356719782,136.763860839,0.93,Credit
4097,5.7,0.0333333333333,0.175438596491,42.750828305,111.452010793,1.21,Credit
4098,4.5,0.0833333333333,0.0,101.184332311,121.765217175,0.71,CASH
4099,13.3,0.316666666667,0.0,101.184332311,147.284296274,3.64,CASH
4100,8.1,0.133333333333,0.123456790123,238.665860215,115.621026064,1.53,Credit
4101,4.5,0.0841666666667,0.0,94.386319293,94.386319293,0.8,CASH
4102,6.1,0.1,0.16393442623,119.356719782,115.621026064,1.35,Credit
4103,14.5,0.399722222222,0.172413793103,170.550403502,26.7751177863,4.2,CREDIT
4104,7.3,0.150277777778,0.0,302.957837437,64.1674781822,1.7,CASH
4105,17.7,0.584166666667,0.141242937853,94.386319293,302.957837437,3.1,Credit
4106,8.2,0.149444444444,0.0,111.452010793,21.3128239511,1.8,Cash
4107,30.9,0.592777777778,0.0,,120.643519106,11.7,Cash
4108,5.8,0.0691666666667,0.2,158.973138597,119.356719782,1.4,Credit
4109,14.5,0.322777777778,0.0,158.973138597,136.763860839,4.0,Cash
4110,6.2,0.124444444444,0.0,94.386319293,139.074511059,1.0,Cash
4111,36.6,0.706111111111,0.15,158.973138597,19.7145057692,14.5,Credit
4112,4.9,0.0730555555556,0.0,101.184332311,121.765217175,1.0,Cash
4113,9.7,0.225,0.0,94.386319293,302.957837437,2.9,Cash
4114,10.1,0.214722222222,0.0,101.184332311,252.197724718,2.9,Cash
4115,5.1,0.0605555555556,0.0,138.760957512,64.1674781822,0.4,Cash
4116,8.1,0.181111111111,0.0,138.760957512,147.284296274,1.8,Cash
4117,7.1,0.120833333333,0.0,101.184332311,136.763860839,1.3,Cash
4118,6.6,0.108333333333,0.0,101.184332311,215.183243508,1.4,Cash
4119,11.7,0.271666666667,0.0,21.3128239511,158.973138597,3.1,Cash
4120,16.1,0.462777777778,0.0,302.957837437,121.765217175,4.1,Cash
4121,9.3,0.269166666667,0.0,147.284296274,205.936708269,1.5,Cash
4122,8.1,0.178333333333,0.0,238.665860215,147.284296274,2.0,Cash
4123,6.1,0.0955555555556,0.0,252.197724718,170.259992779,1.4,Cash
4124,7.0,0.120833333333,0.0,205.936708269,178.157744482,1.6,Cash
4125,2.5,0.225277777778,0.0,94.386319293,64.1674781822,0.0,Cash
4126,6.9,0.149166666667,0.0,119.356719782,238.665860215,1.5,Cash
4127,45.0,0.00416666666667,0.0,19.8706063692,19.8706063692,0.0,Cash
